job_0_ablation_0.00_povs_post,job_2_ablation_0.06_povs_post,job_6_ablation_0.19_povs_post,job_14_ablation_0.43_povs_post,job_16_ablation_0.50_povs_post,job_19_ablation_0.59_povs_post,job_12_ablation_0.37_povs_post,job_13_ablation_0.40_povs_post,job_29_ablation_0.90_povs_post,job_22_ablation_0.68_povs_post,job_1_ablation_0.03_povs_post,job_24_ablation_0.74_povs_post,job_17_ablation_0.53_povs_post,job_8_ablation_0.25_povs_post,job_3_ablation_0.09_povs_post,job_20_ablation_0.62_povs_post,job_25_ablation_0.78_povs_post,job_27_ablation_0.84_povs_post,job_18_ablation_0.56_povs_post,job_7_ablation_0.22_povs_post,job_10_ablation_0.31_povs_post,job_15_ablation_0.47_povs_post,job_28_ablation_0.87_povs_post,job_26_ablation_0.81_povs_post,job_11_ablation_0.34_povs_post,job_21_ablation_0.65_povs_post,job_9_ablation_0.28_povs_post,job_23_ablation_0.71_povs_post,job_5_ablation_0.16_povs_post,job_4_ablation_0.12_povs_post
0.083,0.06,0.043,0.023,0.018,0.0,0.04,0.041,0.0,0.0,0.065,0.0,0.0,0.056,0.109,0.0,0.0,0.0,0.0,0.07,0.035,0.0,0.0,0.0,0.044,0.0,0.045,0.0,0.07,0.044
0.081,0.056,0.04,0.021,0.015,0.0,0.036,0.035,0.0,0.0,0.061,0.0,0.0,0.05,0.105,0.0,0.0,0.0,0.0,0.067,0.029,0.0,0.0,0.0,0.035,0.0,0.041,0.0,0.064,0.04
0.079,0.053,0.035,0.02,0.0,0.0,0.032,0.033,0.0,0.0,0.056,0.0,0.0,0.049,0.097,0.0,0.0,0.0,0.0,0.061,0.027,0.0,0.0,0.0,0.033,0.0,0.037,0.0,0.062,0.031
0.075,0.049,0.034,0.017,0.0,0.0,0.031,0.026,0.0,0.0,0.053,0.0,0.0,0.045,0.09,0.0,0.0,0.0,0.0,0.06,0.025,0.0,0.0,0.0,0.029,0.0,0.036,0.0,0.057,0.029
0.07,0.046,0.031,0.015,0.0,0.0,0.025,0.023,0.0,0.0,0.05,0.0,0.0,0.042,0.087,0.0,0.0,0.0,0.0,0.053,0.021,0.0,0.0,0.0,0.026,0.0,0.034,0.0,0.055,0.027
0.065,0.046,0.03,0.01,0.0,0.0,0.023,0.015,0.0,0.0,0.048,0.0,0.0,0.038,0.082,0.0,0.0,0.0,0.0,0.051,0.02,0.0,0.0,0.0,0.023,0.0,0.031,0.0,0.051,0.027
0.06,0.042,0.027,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.046,0.0,0.0,0.036,0.078,0.0,0.0,0.0,0.0,0.048,0.016,0.0,0.0,0.0,0.02,0.0,0.026,0.0,0.049,0.025
0.057,0.04,0.026,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.043,0.0,0.0,0.035,0.077,0.0,0.0,0.0,0.0,0.046,0.013,0.0,0.0,0.0,0.018,0.0,0.022,0.0,0.043,0.024
0.055,0.039,0.025,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.041,0.0,0.0,0.033,0.066,0.0,0.0,0.0,0.0,0.042,0.012,0.0,0.0,0.0,0.015,0.0,0.021,0.0,0.043,0.022
0.052,0.036,0.022,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.04,0.0,0.0,0.03,0.062,0.0,0.0,0.0,0.0,0.039,0.01,0.0,0.0,0.0,0.013,0.0,0.018,0.0,0.037,0.019
0.049,0.034,0.02,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.036,0.0,0.0,0.03,0.059,0.0,0.0,0.0,0.0,0.038,0.008,0.0,0.0,0.0,0.012,0.0,0.015,0.0,0.036,0.017
0.047,0.033,0.019,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.035,0.0,0.0,0.026,0.056,0.0,0.0,0.0,0.0,0.035,0.008,0.0,0.0,0.0,0.01,0.0,0.015,0.0,0.034,0.015
0.044,0.033,0.018,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.032,0.0,0.0,0.023,0.055,0.0,0.0,0.0,0.0,0.031,0.005,0.0,0.0,0.0,0.008,0.0,0.014,0.0,0.032,0.013
0.039,0.03,0.017,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.03,0.0,0.0,0.02,0.054,0.0,0.0,0.0,0.0,0.027,0.002,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.029,0.012
0.037,0.026,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.018,0.051,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.026,0.011
